x_out,y_out
0,100
10,231.96931668411546
20,450.85306037969326
30,690.5678577033374
40,858.4864497526571
50,942.8256185719928
60,978.1780512226178
70,991.8598678523975
80,996.9899242512254
90,998.8905440213778
100,999.5915675044218
